ANO_ELEICAO,ESTADOS,nep,ambito
2018,AL,13.805037091644794,voto
2018,AM,13.74731004447391,voto
2018,AP,17.630669561990626,voto
2018,BA,12.65483662726366,voto
2018,CE,11.240631373306416,voto
2018,DF,19.200411590213648,voto
2018,ES,14.724597362650991,voto
2018,GO,16.26306078234642,voto
2018,MA,18.31249552978016,voto
2018,MG,16.724904439684693,voto
2018,MS,9.077398456090261,voto
2018,MT,15.22829380190268,voto
2018,PA,14.46659020619045,voto
2018,PB,14.71245002551772,voto
2018,PE,12.29198959586717,voto
2018,PI,10.139925325807129,voto
2018,PR,14.307439892612226,voto
2018,RJ,12.369607767517692,voto
2018,RN,15.508356590148052,voto
2018,RO,15.735327912548765,voto
2018,RR,17.928400118498697,voto
2018,RS,13.518709791515711,voto
2018,SC,9.346374588110407,voto
