ANO_ELEICAO,ESTADOS,nep,ambito
2014,Alagoas,10.663715649716494,voto
2014,Amazonas,9.556947885436301,voto
2014,Amapá,17.0470949269141,voto
2014,Bahia,11.38730236936592,voto
2014,Ceará,11.184310575737753,voto
2014,Distrito Federal,13.337735555683038,voto
2014,Espírito Santo,11.438309673273611,voto
2014,Goiás,7.0549920560876345,voto
2014,Maranhão,15.67128874895776,voto
2014,Minas Gerais,11.916053142921458,voto
2014,M. G. do Sul,6.2122918671913006,voto
2014,Mato Grosso,10.389881814058542,voto
2014,Pará,11.298778151451746,voto
2014,Paraíba,9.904037705459595,voto
2014,Pernambuco,8.222114074318911,voto
2014,Piauí,8.180014655851544,voto
2014,Paraná,13.334180719753471,voto
2014,Rio de Janeiro,12.832125768033022,voto
2014,R. G. do Norte,11.694158282661864,voto
