"ANO_ELEICAO","NUM_TURNO","UF","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2006","1","AC","DEPUTADO FEDERAL","11","PP","57914"
"2018","1","AC","DEPUTADO FEDERAL","11","PP","29373"
"1998","1","AC","DEPUTADO FEDERAL","11","PPB","29472"
"2002","1","AC","DEPUTADO FEDERAL","11","PPB","41059"
"2018","1","AC","DEPUTADO FEDERAL","54","PPL","1388"
"2014","1","AC","DEPUTADO FEDERAL","54","PPL","693"
"2006","1","AC","DEPUTADO FEDERAL","23","PPS","33136"
"2010","1","AC","DEPUTADO FEDERAL","23","PPS","4540"
"1998","1","AC","DEPUTADO FEDERAL","23","PPS","533"
"2018","1","AC","DEPUTADO FEDERAL","23","PPS","6375"
"2014","1","AC","DEPUTADO FEDERAL","23","PPS","3725"
"2002","1","AC","DEPUTADO FEDERAL","23","PPS","33863"
"2010","1","AC","DEPUTADO FEDERAL","22","PR","2464"
"2014","1","AC","DEPUTADO FEDERAL","22","PR","13953"
"2018","1","AC","DEPUTADO FEDERAL","22","PR","15823"
"2010","1","AC","DEPUTADO FEDERAL","10","PRB","2799"
"2014","1","AC","DEPUTADO FEDERAL","10","PRB","18505"
"2018","1","AC","DEPUTADO FEDERAL","10","PRB","8668"
"1998","1","AC","DEPUTADO FEDERAL","56","PRONA","931"
"2014","1","AC","DEPUTADO FEDERAL","90","PROS","2134"
"2018","1","AC","DEPUTADO FEDERAL","90","PROS","4078"
"2010","1","AC","DEPUTADO FEDERAL","44","PRP","4737"
"2018","1","AC","DEPUTADO FEDERAL","44","PRP","5869"
"2014","1","AC","DEPUTADO FEDERAL","44","PRP","11963"
"2006","1","AC","DEPUTADO FEDERAL","44","PRP","710"
"2018","1","AC","DEPUTADO FEDERAL","28","PRTB","340"
"2006","1","AC","DEPUTADO FEDERAL","28","PRTB","195"
"2002","1","AC","DEPUTADO FEDERAL","40","PSB","19876"
"2010","1","AC","DEPUTADO FEDERAL","40","PSB","672"
"2018","1","AC","DEPUTADO FEDERAL","40","PSB","11521"
"1998","1","AC","DEPUTADO FEDERAL","40","PSB","890"
"2006","1","AC","DEPUTADO FEDERAL","40","PSB","8899"
"2014","1","AC","DEPUTADO FEDERAL","40","PSB","27939"
"2018","1","AC","DEPUTADO FEDERAL","20","PSC","5357"
"2010","1","AC","DEPUTADO FEDERAL","20","PSC","17149"
"2002","1","AC","DEPUTADO FEDERAL","20","PSC","276"
"2014","1","AC","DEPUTADO FEDERAL","20","PSC","12321"
"2014","1","AC","DEPUTADO FEDERAL","55","PSD","19289"
"2018","1","AC","DEPUTADO FEDERAL","55","PSD","13245"
"2006","1","AC","DEPUTADO FEDERAL","45","PSDB","20854"
"1998","1","AC","DEPUTADO FEDERAL","45","PSDB","12017"
"2010","1","AC","DEPUTADO FEDERAL","45","PSDB","67231"
"2018","1","AC","DEPUTADO FEDERAL","45","PSDB","41891"
"2014","1","AC","DEPUTADO FEDERAL","45","PSDB","36868"
"2002","1","AC","DEPUTADO FEDERAL","45","PSDB","12208"
"2010","1","AC","DEPUTADO FEDERAL","27","PSDC","1094"
"2014","1","AC","DEPUTADO FEDERAL","27","PSDC","3632"
"2002","1","AC","DEPUTADO FEDERAL","27","PSDC","767"
