aa_eleicao;sg_uf;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2022;SC;7;Deputado Estadual;4004036;40;100101;PT / PV / PC do B;4;0;4;456605
2022;PE;7;Deputado Estadual;5013585;49;102318;PL;4;1;4;456482
2022;MG;7;Deputado Estadual;11076602;77;143852;UNIÃO;3;0;3;451748
2022;MG;7;Deputado Estadual;11076602;77;143852;AVANTE;3;0;3;449165
2022;GO;7;Deputado Estadual;3434510;41;83769;MDB;5;1;5;439589
2022;MG;7;Deputado Estadual;11076602;77;143852;PSC;3;0;3;433134
2022;GO;7;Deputado Estadual;3434510;41;83769;UNIÃO;5;1;5;430321
2022;PR;6;Deputado Federal;6038642;30;201288;PODE;1;0;2;429991
2022;SP;7;Deputado Estadual;23245861;94;247296;NOVO;1;0;1;428030
2022;PI;6;Deputado Federal;1957483;10;195748;PSD;2;1;2;426968
2022;PB;7;Deputado Estadual;2243483;36;62319;REPUBLICANOS;6;2;6;426682
2022;MG;7;Deputado Estadual;11076602;77;143852;REDE / PSOL;2;1;2;425937
2022;MG;6;Deputado Federal;11181098;53;210964;PDT;2;0;2;425633
2022;MA;7;Deputado Estadual;3691036;42;87882;PT / PV / PC do B;4;1;4;422330
2022;PE;6;Deputado Federal;4969863;25;198795;REPUBLICANOS;2;0;2;416059
2022;SC;6;Deputado Federal;3969848;16;248115;MDB;1;2;1;415237
2022;RJ;7;Deputado Estadual;8492935;70;121328;PP;3;1;3;414957
2022;RJ;6;Deputado Federal;8575988;46;186435;MDB;2;0;2;414506
2022;PA;7;Deputado Estadual;4538980;41;110707;CIDADANIA / PSDB;3;1;3;409695
2022;BA;7;Deputado Estadual;7937716;63;125995;CIDADANIA / PSDB;3;0;3;409300
2022;MA;6;Deputado Federal;3706498;18;205917;PT / PV / PC do B;1;1;1;407352
2022;PI;7;Deputado Estadual;1970638;30;65688;PP;6;1;6;406990
2022;CE;7;Deputado Estadual;5054996;46;109891;UNIÃO;3;1;3;406255
2022;MG;6;Deputado Federal;11181098;53;210964;MDB;1;1;1;403038
2022;BA;7;Deputado Estadual;7937716;63;125995;REPUBLICANOS;3;0;3;401163
2022;PI;6;Deputado Federal;1957483;10;195748;PP;2;0;2;400918
2022;AM;7;Deputado Estadual;1968109;24;82005;UNIÃO;4;2;4;397540
2022;BA;6;Deputado Federal;7958431;39;204062;PDT;1;1;1;396887
2022;MG;6;Deputado Federal;11181098;53;210964;CIDADANIA / PSDB;1;1;1;392483
2022;SC;6;Deputado Federal;3969848;16;248115;PSD;1;1;1;391429
2022;RN;7;Deputado Estadual;1865045;24;77710;PT / PV / PC do B;4;2;4;387591
2022;PA;7;Deputado Estadual;4538980;41;110707;PT / PV / PC do B;3;1;3;385496
2022;PE;7;Deputado Estadual;5013585;49;102318;SOLIDARIEDADE;3;1;3;384664
2022;SP;7;Deputado Estadual;23245861;94;247296;PDT;1;0;1;384377
2022;MA;7;Deputado Estadual;3691036;42;87882;PL;4;1;4;381909
2022;PA;6;Deputado Federal;4521516;17;265972;PT / PV / PC do B;1;1;1;381210
2022;SP;6;Deputado Federal;23375585;70;333937;SOLIDARIEDADE;1;0;1;379310
2022;MG;7;Deputado Estadual;11076602;77;143852;NOVO;2;0;2;377651
2022;MT;6;Deputado Federal;1730277;8;216285;PL;1;3;1;377457
2022;MA;6;Deputado Federal;3706498;18;205917;UNIÃO;1;1;1;374204
2022;GO;6;Deputado Federal;3439644;17;202332;UNIÃO;1;1;1;373859
2022;AM;6;Deputado Federal;1976477;8;247060;UNIÃO;1;1;1;372802
2022;MG;6;Deputado Federal;11181098;53;210964;REPUBLICANOS;1;1;1;371939
2022;CE;7;Deputado Estadual;5054996;46;109891;MDB;3;0;3;371640
2022;MG;7;Deputado Estadual;11076602;77;143852;PATRIOTA;2;1;2;371263
2022;RN;6;Deputado Federal;1864825;8;233103;PL;1;3;1;370465
2022;MG;7;Deputado Estadual;11076602;77;143852;PMN;2;1;2;369047
2022;SP;6;Deputado Federal;23375585;70;333937;NOVO;1;0;1;361268
2022;PA;6;Deputado Federal;4521516;17;265972;PSD;1;1;1;350784
2022;RJ;7;Deputado Estadual;8492935;70;121328;SOLIDARIEDADE;2;1;2;350749
2022;SP;7;Deputado Estadual;23245861;94;247296;SOLIDARIEDADE;1;0;1;345811
2022;PR;7;Deputado Estadual;6058064;54;112186;REPUBLICANOS;3;0;3;342630
2022;MA;7;Deputado Estadual;3691036;42;87882;PP;3;1;3;341747
2022;MG;6;Deputado Federal;11181098;53;210964;PODE;1;1;1;338977
2022;MA;7;Deputado Estadual;3691036;42;87882;PDT;3;1;3;333171
2022;PB;7;Deputado Estadual;2243483;36;62319;PSB;5;1;5;331554
